fulfillment_event_id,order_id,customer_id,source_customer_id,event_date,event_type,severity,root_cause,resolution_status
FUL000048,O010275,C001785,5910,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000049,O010276,C000919,7887,2023-12-05,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000050,O010278,C000581,10071,2023-12-06,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000051,O010282,C001656,6089,2023-12-06,carrier_delay,High,Carrier route delay,Open
FUL000052,O001029,C000633,2800,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000053,O010290,C001706,5104,2023-12-06,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000054,O010303,C000395,1100,2023-12-06,carrier_delay,High,Carrier route delay,Open
FUL000055,O010315,C000515,4444,2023-12-06,carrier_delay,High,Carrier route delay,Open
FUL000056,O010329,C000736,3365,2023-12-06,carrier_delay,High,Carrier route delay,Open
FUL000057,O010333,C000286,11112,2023-12-06,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000058,O010352,C000144,7358,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000059,O010354,C001240,8806,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000060,O010369,C000337,11901,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000061,O010372,C000409,1868,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000062,O010377,C000350,1054,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000063,O001039,C001131,1558,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000064,O010399,C000334,8847,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000065,O000104,C000783,7790,2023-07-10,carrier_delay,High,Carrier route delay,Open
FUL000066,O010403,C000428,8812,2023-12-07,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000067,O010404,C000522,10650,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000068,O010407,C000801,10992,2023-12-07,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000069,O010410,C000611,7762,2023-12-07,carrier_delay,High,Carrier route delay,Open
FUL000070,O010414,C001845,4922,2023-12-08,carrier_delay,High,Carrier route delay,Open
FUL000071,O010429,C000833,11606,2023-12-08,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000072,O010435,C001013,8478,2023-12-08,carrier_delay,High,Carrier route delay,Open
FUL000073,O001044,C000073,2444,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000074,O001045,C001032,9990,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000075,O010460,C001445,3477,2023-12-08,carrier_delay,High,Carrier route delay,Open
FUL000076,O010465,C001978,10843,2023-12-08,carrier_delay,High,Carrier route delay,Open
FUL000077,O010499,C000970,11262,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000078,O000105,C001010,8220,2023-07-10,carrier_delay,High,Carrier route delay,Open
FUL000079,O010504,C000823,8618,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000080,O010515,C000959,8948,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000081,O010525,C000516,1989,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000082,O010535,C001046,9721,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000083,O010538,C000267,8156,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000084,O010540,C001906,2825,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000085,O010550,C001668,9746,2023-12-09,carrier_delay,High,Carrier route delay,Open
FUL000086,O010562,C001676,5525,2023-12-10,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000087,O010574,C000298,9107,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000088,O010599,C000760,8420,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000089,O010600,C000456,11741,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000090,O010604,C001379,5612,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000091,O010610,C000939,11448,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000092,O010615,C001078,4265,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000093,O010619,C000246,2773,2023-12-10,carrier_delay,High,Carrier route delay,Open
FUL000094,O010622,C001954,8789,2023-12-11,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000095,O010632,C001940,6767,2023-12-11,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000096,O010642,C000097,11645,2023-12-11,carrier_delay,High,Carrier route delay,Open
FUL000097,O010645,C001540,5859,2023-12-11,carrier_delay,High,Carrier route delay,Open
FUL000098,O010648,C001723,10138,2023-12-11,carrier_delay,High,Carrier route delay,Open
FUL000099,O010660,C000651,2071,2023-12-11,carrier_delay,High,Carrier route delay,Open
FUL000100,O010663,C000687,3754,2023-12-11,carrier_delay,High,Carrier route delay,Open
FUL000101,O001068,C001643,12178,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000102,O010681,C001770,5845,2023-12-11,carrier_delay,High,Carrier route delay,Open
FUL000103,O010688,C000355,5682,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000104,O010689,C001340,10022,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000105,O001069,C001287,4683,2023-07-24,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000106,O010705,C001968,8091,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000107,O010724,C000194,5560,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000108,O010727,C000794,4582,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000109,O010734,C001997,8684,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000110,O010738,C001168,11512,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000111,O010739,C001751,11728,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000112,O010744,C001497,5762,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000113,O010751,C000590,10258,2023-12-12,carrier_delay,High,Carrier route delay,Open
FUL000114,O010779,C000760,8420,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000115,O010780,C001297,252,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000116,O010785,C000642,564,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000117,O001079,C001014,10348,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000118,O010793,C001070,4916,2023-12-13,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000119,O010800,C000632,1725,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000120,O010805,C001532,7958,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000121,O010812,C001433,2453,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000122,O010824,C000132,11426,2023-12-13,carrier_delay,High,Carrier route delay,Open
FUL000123,O001083,C000087,3957,2023-07-24,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000124,O010833,C001743,5286,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000125,O010834,C000183,7857,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000126,O010837,C001941,8938,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000127,O010842,C001530,6810,2023-12-14,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000128,O010844,C000843,433,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000129,O001085,C001511,6318,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000130,O010859,C000036,4781,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000131,O010860,C000558,11124,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000132,O010875,C001568,936,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000133,O010884,C000137,5168,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000134,O001089,C001138,2298,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000135,O010890,C001543,1493,2023-12-14,carrier_delay,High,Carrier route delay,Open
FUL000136,O010904,C000880,2600,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000137,O010909,C000743,8800,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000138,O001091,C000963,7042,2023-07-24,carrier_delay,High,Carrier route delay,Open
FUL000139,O010914,C001313,10701,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000140,O010933,C001595,5229,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000141,O010936,C001485,11822,2023-12-15,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000142,O010939,C001918,5236,2023-12-15,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000143,O010951,C001739,7607,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000144,O010952,C000907,1024,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000145,O010959,C000410,7082,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000146,O010960,C000368,3257,2023-12-15,carrier_delay,High,Carrier route delay,Open
FUL000147,O010965,C001000,9191,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000148,O010973,C001805,1522,2023-12-16,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000149,O010975,C000178,172,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000150,O010984,C000814,9375,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000151,O010989,C000544,1853,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000152,O010994,C000688,2969,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000153,O010995,C000229,2860,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000154,O011000,C000407,4770,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000155,O011010,C000634,8285,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000156,O011011,C001616,1243,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000157,O011024,C001160,5775,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000158,O011030,C000753,5033,2023-12-16,carrier_delay,High,Carrier route delay,Open
FUL000159,O011040,C001352,12061,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000160,O001105,C000205,9760,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000161,O011054,C000106,467,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000162,O011059,C000490,3755,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000163,O011066,C000339,8192,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000164,O011069,C000224,1417,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000165,O011070,C001100,10273,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000166,O011079,C000605,2217,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000167,O011084,C001313,10701,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000168,O011085,C001338,4308,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000169,O011095,C000014,664,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000170,O011097,C001193,10766,2023-12-17,carrier_delay,High,Carrier route delay,Open
FUL000171,O011100,C001284,8929,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000172,O011109,C000938,5413,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000173,O011113,C000288,5519,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000174,O011128,C001027,7005,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000175,O011135,C000002,9371,2023-12-18,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000176,O011144,C000340,1972,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000177,O011145,C000095,5582,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000178,O011166,C000994,10778,2023-12-18,carrier_delay,High,Carrier route delay,Open
FUL000179,O011169,C000050,10371,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000180,O001117,C001454,11352,2023-07-25,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000181,O011173,C001197,6883,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000182,O011183,C000951,11127,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000183,O011184,C000579,2683,2023-12-19,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000184,O001119,C001742,2267,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000185,O011200,C000597,10834,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000186,O011204,C000022,5004,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000187,O011212,C000210,6664,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000188,O001122,C000013,10235,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000189,O011224,C000094,687,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000190,O011230,C001794,3435,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000191,O011234,C001062,4861,2023-12-19,carrier_delay,High,Carrier route delay,Open
FUL000192,O011238,C000320,5175,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000193,O011253,C001889,8180,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000194,O011257,C001042,5878,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000195,O011258,C000460,7830,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000196,O011259,C000893,5186,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000197,O011264,C001284,8929,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000198,O011269,C000595,10965,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000199,O011276,C000936,11694,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000200,O011278,C001959,4417,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000201,O011284,C001012,6573,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000202,O011290,C000189,7597,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000203,O011293,C001568,936,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000204,O011304,C001597,6834,2023-12-20,carrier_delay,High,Carrier route delay,Open
FUL000205,O011305,C001203,5158,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000206,O011314,C000356,12329,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000207,O011322,C001907,12288,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000208,O011327,C000965,8658,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000209,O011330,C000427,5013,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000210,O011331,C001783,11637,2023-12-21,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000211,O001134,C000188,4181,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000212,O011345,C001567,6734,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000213,O001135,C001677,5359,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000214,O011355,C000784,4557,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000215,O011359,C000562,2540,2023-12-21,carrier_delay,High,Carrier route delay,Open
FUL000216,O011373,C000053,9883,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000217,O011380,C000193,11132,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000218,O011384,C000262,11134,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000219,O011395,C001975,2038,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000220,O000114,C001285,2091,2023-07-10,carrier_delay,High,Carrier route delay,Open
FUL000221,O011400,C001790,4567,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000222,O011409,C001102,2830,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000223,O011415,C001911,1677,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000224,O011416,C000782,9671,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000225,O011423,C001757,2591,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000226,O011430,C000778,12341,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000227,O011439,C000595,10965,2023-12-22,carrier_delay,High,Carrier route delay,Open
FUL000228,O011455,C000771,11313,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000229,O011459,C000255,11156,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000230,O011465,C000065,11888,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000231,O011470,C001444,7234,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000232,O011479,C001000,9191,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000233,O011483,C001303,3660,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000234,O001150,C000524,2826,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000235,O011500,C000280,4588,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000236,O011503,C001017,1365,2023-12-23,carrier_delay,High,Carrier route delay,Open
FUL000237,O011510,C000360,6623,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000238,O011512,C001264,3021,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000239,O011517,C001425,7112,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000240,O011525,C000393,6959,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000241,O011529,C001599,8853,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000242,O001154,C000121,3554,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000243,O011546,C001155,8808,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000244,O011550,C000438,3593,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000245,O011560,C000373,2205,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000246,O011568,C001564,10042,2023-12-24,carrier_delay,High,Carrier route delay,Open
FUL000247,O001158,C000611,7762,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000248,O011580,C001665,4795,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000249,O011582,C000244,5952,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000250,O001160,C000839,1498,2023-07-25,carrier_delay,High,Carrier route delay,Open
FUL000251,O011605,C001974,4725,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000252,O011609,C001340,10022,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000253,O011610,C001334,10925,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000254,O011614,C000843,433,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000255,O011629,C001971,12045,2023-12-25,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000256,O011630,C000077,2041,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000257,O011645,C001244,6838,2023-12-25,carrier_delay,High,Carrier route delay,Open
FUL000258,O011653,C000309,11305,2023-12-26,carrier_delay,High,Carrier route delay,Open
FUL000259,O011660,C001782,1943,2023-12-26,carrier_delay,High,Carrier route delay,Open
FUL000260,O011670,C000278,4599,2023-12-26,carrier_delay,High,Carrier route delay,Open
FUL000261,O011673,C001211,3713,2023-12-26,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000262,O011690,C000762,4969,2023-12-26,carrier_delay,High,Carrier route delay,Open
FUL000263,O000117,C000171,58,2023-07-10,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000264,O011705,C001624,1126,2023-12-26,carrier_delay,High,Carrier route delay,Open
FUL000265,O011709,C001183,6025,2023-12-26,carrier_delay,High,Carrier route delay,Open
FUL000266,O011717,C001417,10951,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000267,O011724,C000097,11645,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000268,O011729,C000538,1804,2023-12-27,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000269,O011730,C000716,7868,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000270,O011735,C001176,11767,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000271,O001174,C000416,8290,2023-07-26,carrier_delay,High,Carrier route delay,Open
FUL000272,O011749,C001651,430,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000273,O011750,C001158,5165,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000274,O011751,C000129,3199,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000275,O011752,C001138,2298,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000276,O011764,C001267,8447,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000277,O011765,C000321,1664,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000278,O011770,C001337,6688,2023-12-27,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000279,O011777,C001466,4926,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000280,O011779,C001947,11330,2023-12-27,carrier_delay,High,Carrier route delay,Open
FUL000281,O011789,C000125,3879,2023-12-28,carrier_delay,High,Carrier route delay,Open
FUL000282,O011790,C001620,4997,2023-12-28,carrier_delay,High,Carrier route delay,Open
FUL000283,O011800,C000689,6086,2023-12-28,carrier_delay,High,Carrier route delay,Open
FUL000284,O011810,C001643,12178,2023-12-28,carrier_delay,High,Carrier route delay,Open
FUL000285,O011818,C001571,2320,2023-12-28,carrier_delay,High,Carrier route delay,Open
FUL000286,O011829,C000136,8170,2023-12-28,carrier_delay,High,Carrier route delay,Open
FUL000287,O011852,C000813,12192,2023-12-28,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000288,O011859,C000633,2800,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000289,O001186,C000227,11947,2023-07-26,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000290,O011875,C001404,3493,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000291,O011884,C000908,5865,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000292,O011895,C001513,3980,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000293,O011904,C000031,9300,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000294,O011909,C001972,11866,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000295,O011914,C001949,3147,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000296,O011915,C000628,6428,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000297,O011916,C001400,10898,2023-12-29,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000298,O011920,C000664,6393,2023-12-29,carrier_delay,High,Carrier route delay,Open
FUL000299,O011929,C000053,9883,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000300,O011943,C000488,3655,2023-12-30,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000301,O011944,C001795,1236,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000302,O011945,C001074,9074,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000303,O011954,C000194,5560,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000304,O011955,C000710,744,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000305,O011966,C000938,5413,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000306,O011967,C001440,11924,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000307,O011975,C000011,5715,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000308,O011979,C000097,11645,2023-12-30,carrier_delay,High,Carrier route delay,Open
FUL000309,O011986,C000529,2433,2023-12-30,carrier_delay,High,Carrier route delay,Open
