order_line_id,source_order_item_id,order_id,source_order_id,customer_id,source_customer_id,product_card_id,product_name,product_category_id,category_name,department_id,department_name,quantity,product_price,item_total,sales,discount,discount_rate,profit,profit_ratio,product_status,product_image
OL014921,14921,O005991,5991,C001457,4673,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,3,50.00,132.00,150.00,18.00,0.1200,13.20,0.1000,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL012307,12307,O004919,4919,C001066,647,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,240.00,250.00,10.00,0.0400,9.60,0.0400,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL142841,142841,O057106,57106,C000402,8917,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,236.25,250.00,13.75,0.0600,51.98,0.2200,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL139611,139611,O055829,55829,C000628,6428,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,225.00,250.00,25.00,0.1000,22.50,0.1000,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL007805,7805,O003137,3137,C000331,8524,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,217.50,250.00,32.50,0.1300,104.40,0.4800,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL009521,9521,O003828,3828,C000943,11761,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,5,39.99,169.96,199.95,29.99,0.1500,44.19,0.2600,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL151122,151122,O060386,60386,C001163,9554,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,212.50,250.00,37.50,0.1500,8.50,0.0400,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL148673,148673,O059387,59387,C001219,10344,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,187.50,250.00,62.50,0.2500,-11.81,-0.0600,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL024992,24992,O010007,10007,C001403,3375,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,187.50,250.00,62.50,0.2500,91.88,0.4900,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL020537,20537,O008221,8221,C001442,1273,44,adidas Men's F10 Messi TRX FG Soccer Cleat,3,Baseball & Softball,2,Fitness,5,59.99,284.95,299.95,15.00,0.0500,74.09,0.2600,0,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat
OL150522,150522,O060146,60146,C000640,9528,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,5,99.99,479.95,499.95,20.00,0.0400,36.00,0.0800,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL138585,138585,O055409,55409,C000544,1853,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,5,99.99,479.95,499.95,20.00,0.0400,179.98,0.3800,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL019945,19945,O007980,7980,C000111,5828,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,5,99.99,474.95,499.95,25.00,0.0500,199.48,0.4200,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL021551,21551,O008636,8636,C000036,4781,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,5,99.99,449.96,499.95,50.00,0.1000,-22.50,-0.0500,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL153077,153077,O061192,61192,C001557,10668,251,Brooks Women's Ghost 6 Running Shoe,12,Boxing & MMA,3,Footwear,5,89.99,337.46,449.95,112.49,0.2500,59.06,0.1800,0,http://images.acmesports.sports/Brooks+Women%27s+Ghost+6+Running+Shoe
OL131382,131382,O052562,52562,C001248,11106,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,5,59.99,293.95,299.95,6.00,0.0200,33.22,0.1100,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL000989,989,O000399,399,C001854,1473,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,5,59.99,283.45,299.95,16.50,0.0600,-155.90,-0.5500,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL172188,172188,O068879,68879,C001569,778,60,SOLE E25 Elliptical,4,Basketball,2,Fitness,1,999.99,989.99,999.99,10.00,0.0100,415.80,0.4200,0,http://images.acmesports.sports/SOLE+E25+Elliptical
OL162715,162715,O065109,65109,C000331,8524,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,1,99.99,95.99,99.99,4.00,0.0400,25.92,0.2700,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL078398,78398,O031364,31364,C000297,1636,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,3,99.99,278.97,299.97,21.00,0.0700,133.91,0.4800,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL078396,78396,O031364,31364,C000297,1636,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,3,99.99,272.97,299.97,27.00,0.0900,19.11,0.0700,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL081596,81596,O032617,32617,C000324,3800,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,3,59.99,158.37,179.97,21.60,0.1200,69.68,0.4400,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL081595,81595,O032617,32617,C000324,3800,567,adidas Men's Germany Black Crest Away Tee,26,Girls' Apparel,5,Golf,3,25.00,73.50,75.00,1.50,0.0200,11.03,0.1500,0,http://images.acmesports.sports/adidas+Men%27s+Germany+Black+Crest+Away+Tee
OL103905,103905,O041623,41623,C000990,12253,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,3,39.99,99.58,119.97,20.39,0.1700,-76.37,-0.7700,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL103083,103083,O041294,41294,C001877,4674,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,4,50.00,198.00,200.00,2.00,0.0100,-145.13,-0.7300,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL119464,119464,O047774,47774,C000859,5302,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,4,39.99,151.16,159.96,8.80,0.0600,51.09,0.3400,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL115564,115564,O046229,46229,C001980,5643,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,4,99.99,391.96,399.96,8.00,0.0200,-261.44,-0.6700,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL107084,107084,O042882,42882,C000077,2041,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,4,99.99,379.96,399.96,20.00,0.0500,178.58,0.4700,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL116042,116042,O046416,46416,C001481,7967,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,4,99.99,351.96,399.96,48.00,0.1200,-82.01,-0.2300,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL070443,70443,O028168,28168,C000486,10081,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,1,59.99,56.99,59.99,3.00,0.0500,27.36,0.4800,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL062621,62621,O024992,24992,C000536,1169,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,123.49,129.99,6.50,0.0500,26.06,0.2100,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL055063,55063,O022019,22019,C000054,9494,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,122.84,129.99,7.15,0.0600,39.92,0.3300,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL063711,63711,O025433,25433,C000409,1868,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,120.89,129.99,9.10,0.0700,-105.78,-0.8800,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL075205,75205,O030085,30085,C000581,10071,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,1,59.99,55.79,59.99,4.20,0.0700,26.78,0.4800,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL127964,127964,O051209,51209,C001691,7705,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,120.89,129.99,9.10,0.0700,31.43,0.2600,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL067197,67197,O026821,26821,C001301,7795,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,120.89,129.99,9.10,0.0700,-193.43,-1.6000,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL074420,74420,O029746,29746,C001440,11924,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,1,59.99,54.59,59.99,5.40,0.0900,6.17,0.1100,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL113719,113719,O045506,45506,C000578,5687,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,220.00,250.00,30.00,0.1200,15.40,0.0700,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL116672,116672,O046667,46667,C000663,4399,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,207.50,250.00,42.50,0.1700,12.87,0.0600,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL109614,109614,O043889,43889,C000227,11947,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,205.00,250.00,45.00,0.1800,71.75,0.3500,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL104410,104410,O041825,41825,C000906,10118,906,Team Golf Tennessee Volunteers Putter Grip,40,Accessories,6,Outdoors,5,24.99,124.95,124.95,0.00,0.0000,59.98,0.4800,0,http://images.acmesports.sports/Team+Golf+Tennessee+Volunteers+Putter+Grip
OL103815,103815,O041591,41591,C000204,10699,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,5,59.99,299.95,299.95,0.00,0.0000,80.99,0.2700,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL112334,112334,O044981,44981,C001285,2091,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,5,39.99,165.96,199.95,33.99,0.1700,54.77,0.3300,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL117458,117458,O047002,47002,C000417,4596,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,5,99.99,474.95,499.95,25.00,0.0500,41.80,0.0900,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL167108,167108,O066854,66854,C000772,40,359,Nike Men's Free TR 5.0 TB Training Shoe,16,As Seen on  TV!,3,Footwear,5,99.99,464.95,499.95,35.00,0.0700,174.36,0.3800,0,http://images.acmesports.sports/Nike+Men%27s+Free+TR+5.0+TB+Training+Shoe
OL151253,151253,O060445,60445,C000291,5138,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,2,59.99,101.98,119.98,18.00,0.1500,46.91,0.4600,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL129598,129598,O051865,51865,C000025,12431,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,2,59.99,99.58,119.98,20.40,0.1700,49.79,0.5000,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL136156,136156,O054446,54446,C000285,12094,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,2,50.00,100.00,100.00,0.00,0.0000,43.00,0.4300,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL021144,21144,O008470,8470,C001133,9162,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,2,39.99,75.98,79.98,4.00,0.0500,35.71,0.4700,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL005047,5047,O002014,2014,C000217,5875,565,adidas Youth Germany Black/Red Away Match Soc,26,Girls' Apparel,5,Golf,2,70.00,132.30,140.00,7.70,0.0600,18.52,0.1400,0,http://images.acmesports.sports/adidas+Youth+Germany+Black%2FRed+Away+Match+Soccer+Jersey
OL131429,131429,O052582,52582,C000871,9563,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,2,50.00,93.00,100.00,7.00,0.0700,30.23,0.3300,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL140615,140615,O056217,56217,C001556,4140,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,2,39.99,71.98,79.98,8.00,0.1000,35.99,0.5000,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL014655,14655,O005893,5893,C000165,4539,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,2,39.99,71.98,79.98,8.00,0.1000,17.13,0.2400,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL013796,13796,O005528,5528,C001979,6071,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,2,50.00,90.00,100.00,10.00,0.1000,41.40,0.4600,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL131482,131482,O052601,52601,C000056,1695,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,2,39.99,65.58,79.98,14.40,0.1800,21.64,0.3300,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL131352,131352,O052549,52549,C000228,123,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,2,39.99,59.99,79.98,20.00,0.2500,27.59,0.4600,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL021145,21145,O008470,8470,C001133,9162,825,Bridgestone e6 Straight Distance NFL Tennesse,37,Electronics,6,Outdoors,2,31.99,63.34,63.98,0.64,0.0100,19.00,0.3000,0,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...
OL007792,7792,O003130,3130,C001671,12069,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,3,50.00,112.50,150.00,37.50,0.2500,12.71,0.1100,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL123770,123770,O049521,49521,C000300,9597,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,3,99.99,254.97,299.97,45.00,0.1500,95.62,0.3800,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL075732,75732,O030305,30305,C000607,9702,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,3,39.99,113.97,119.97,6.00,0.0500,35.33,0.3100,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL070772,70772,O028292,28292,C000653,10533,924,Glove It Urban Brick Golf Towel,41,Trade-In,6,Outdoors,3,15.99,35.98,47.97,11.99,0.2500,-57.56,-1.6000,0,http://images.acmesports.sports/Glove+It+Urban+Brick+Golf+Towel
OL080251,80251,O032090,32090,C001312,7864,116,Nike Men's Comfort 2 Slide,6,Tennis & Racquet,2,Fitness,3,44.99,114.72,134.97,20.25,0.1500,34.42,0.3000,0,http://images.acmesports.sports/Nike+Men%27s+Comfort+2+Slide
OL094024,94024,O037669,37669,C001031,6405,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,3,99.99,278.97,299.97,21.00,0.0700,72.53,0.2600,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL094022,94022,O037669,37669,C001031,6405,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,3,59.99,152.97,179.97,27.00,0.1500,53.54,0.3500,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL042688,42688,O017071,17071,C000218,12221,276,Under Armour Women's Ignite Slide,13,Electronics,3,Footwear,4,31.99,126.68,127.96,1.28,0.0100,0.00,0.0000,0,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+Slide
OL162010,162010,O064813,64813,C001747,10018,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,4,59.99,227.96,239.96,12.00,0.0500,77.05,0.3400,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL032070,32070,O012827,12827,C000370,542,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,4,59.99,201.57,239.96,38.39,0.1600,17.74,0.0900,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL114342,114342,O045746,45746,C001425,7112,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,4,50.00,190.00,200.00,10.00,0.0500,83.60,0.4400,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL162011,162011,O064813,64813,C001747,10018,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,4,50.00,189.00,200.00,11.00,0.0600,85.05,0.4500,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL124032,124032,O049622,49622,C001425,7112,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,4,39.99,145.56,159.96,14.40,0.0900,-33.92,-0.2300,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL124029,124029,O049622,49622,C001425,7112,893,Team Golf Pittsburgh Steelers Putter Grip,40,Accessories,6,Outdoors,4,24.99,84.97,99.96,14.99,0.1500,-25.49,-0.3000,0,http://images.acmesports.sports/Team+Golf+Pittsburgh+Steelers+Putter+Grip
OL135348,135348,O054128,54128,C000891,8986,823,Titleist Pro V1x High Numbers Personalized Go,37,Electronics,6,Outdoors,4,51.99,203.80,207.96,4.16,0.0200,50.95,0.2500,0,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Personalized+Golf+Balls
OL078074,78074,O031239,31239,C001153,5564,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,4,59.99,215.96,239.96,24.00,0.1000,84.23,0.3900,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL057384,57384,O022924,22924,C000944,9704,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,4,39.99,151.96,159.96,8.00,0.0500,3.80,0.0300,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL079729,79729,O031905,31905,C000299,7060,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,4,59.99,179.97,239.96,59.99,0.2500,67.49,0.3800,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL039413,39413,O015766,15766,C001503,6416,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,5,99.99,439.96,499.95,59.99,0.1200,114.39,0.2600,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL039411,39411,O015766,15766,C001503,6416,572,TYR Boys' Team Digi Jammer,26,Girls' Apparel,5,Golf,5,39.99,195.95,199.95,4.00,0.0200,50.95,0.2600,0,http://images.acmesports.sports/TYR+Boys%27+Team+Digi+Jammer
OL036153,36153,O014454,14454,C000069,1577,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,225.00,250.00,25.00,0.1000,29.25,0.1300,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL163099,163099,O065264,65264,C001787,9047,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,212.50,250.00,37.50,0.1500,78.63,0.3700,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL131420,131420,O052576,52576,C001076,6746,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,5,50.00,240.00,250.00,10.00,0.0400,112.80,0.4700,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL172187,172187,O068879,68879,C001569,778,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,129.99,129.99,0.00,0.0000,11.18,0.0900,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL037151,37151,O014837,14837,C000240,1948,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,129.99,129.99,0.00,0.0000,24.44,0.1900,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL159939,159939,O063972,63972,C000523,1962,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,128.69,129.99,1.30,0.0100,61.77,0.4800,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL045004,45004,O018009,18009,C000418,1222,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,128.69,129.99,1.30,0.0100,16.73,0.1300,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
OL170278,170278,O068107,68107,C000605,2217,403,Nike Men's CJ Elite 2 TD Football Cleat,18,Men's Footwear,4,Apparel,1,129.99,128.69,129.99,1.30,0.0100,-90.08,-0.7000,0,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat
